Year,State,Median Home Price ($),Median Rent Price ($),Percent Affordable Housing (%),Median Income ($),Population,Government Assistance (%)
2005,California,242560,1216,15,70346,25027455,12
2006,California,430347,2979,30,58876,14675904,28
2007,California,561391,1531,24,53679,36054093,12
2008,California,300223,2582,32,116112,31569957,7
2009,California,305816,3269,34,78407,38362574,9
2010,California,440475,2226,28,115268,25253283,9
2011,California,529491,2778,30,82815,6399337,5
2012,California,425232,3037,38,81100,38636398,20
2013,California,275601,1619,36,60560,35074674,26
2014,California,671501,1371,35,45897,9913675,18
2015,California,242674,1504,50,106934,4543176,23
2016,California,254489,3233,13,48481,11876214,13
2017,California,636622,1571,39,85829,35482634,28
2018,California,652120,804,25,108692,12866008,14
2019,California,480410,1740,41,101125,1381342,24
2020,California,796981,1941,36,42347,10844100,30
2021,California,366982,3094,14,77019,23618056,30
2022,California,727306,2688,12,97327,17447714,20
2005,Texas,218900,2132,33,115207,10512446,10
2006,Texas,549645,1655,44,53135,25280196,29
2007,Texas,266862,2933,29,104226,6640342,24
2008,Texas,486555,2807,10,96982,31372059,25
2009,Texas,551752,2254,46,62613,17897747,17
2010,Texas,735480,1895,19,55603,6471346,7
2011,Texas,781661,3118,27,81688,3145948,6
2012,Texas,211025,2012,42,84349,21741069,24
2013,Texas,340177,1382,23,86005,7588676,30
2014,Texas,268364,991,30,110293,15165368,7
2015,Texas,481457,2534,20,108213,2600136,12
2016,Texas,607377,995,28,41916,33731174,9
2017,Texas,244192,2992,38,62606,23524201,20
2018,Texas,606776,3401,15,99788,39289911,14
2019,Texas,757026,2750,45,73996,15397834,20
2020,Texas,528053,1743,21,70610,36136917,23
2021,Texas,425686,2737,12,85967,30413614,7
2022,Texas,297741,1644,16,57726,16136826,21
2005,Florida,448182,1049,27,110756,4080645,21
2006,Florida,270701,1947,15,104807,2534640,30
2007,Florida,614575,2906,12,62172,18335768,9
2008,Florida,259048,1938,44,98711,16384719,18
2009,Florida,315287,1955,22,92555,14677848,7
2010,Florida,764864,1790,35,59555,14311640,19
2011,Florida,353338,1887,44,63909,3542597,6
2012,Florida,780069,2809,31,49765,3070560,25
2013,Florida,465542,1651,17,41810,21633500,17
2014,Florida,539116,1511,50,95399,28674554,9
2015,Florida,607269,3047,10,119501,13925643,6
2016,Florida,524879,1421,15,101560,14941680,17
2017,Florida,537355,3174,47,64551,3708474,7
2018,Florida,327790,2745,22,74701,39824074,30
2019,Florida,315112,3246,39,101363,11872006,26
2020,Florida,525071,3266,24,91460,10444970,11
2021,Florida,764755,1676,40,104238,37413827,29
2022,Florida,203551,1412,48,67307,18456511,5
2005,New York,265523,1651,10,92023,25268111,5
2006,New York,592220,2924,40,102544,27867692,7
2007,New York,396974,1005,24,64037,6535546,9
2008,New York,450990,1128,34,73966,10541776,28
2009,New York,457666,1355,49,94255,33315104,6
2010,New York,293820,1839,27,92493,18057935,28
2011,New York,795745,2967,17,93127,10768414,15
2012,New York,625853,1929,42,65376,34781195,8
2013,New York,351625,3043,30,63691,29278288,24
2014,New York,516216,1971,20,43643,14487318,23
2015,New York,672865,2462,22,109053,12579616,8
2016,New York,359611,2927,39,72824,29221351,6
2017,New York,531928,1145,17,88392,33211219,14
2018,New York,382273,3119,47,41422,21749173,23
2019,New York,452035,2879,31,41437,21351333,7
2020,New York,331727,1741,16,113735,21261527,5
2021,New York,565175,2758,32,76320,38015984,20
2022,New York,542458,3484,42,98397,39433865,17
2005,Illinois,361397,1937,36,74271,25929289,26
2006,Illinois,636852,2556,11,110058,2500615,22
2007,Illinois,775916,1557,28,118252,16889370,8
2008,Illinois,366936,833,44,99897,16946286,7
2009,Illinois,738778,802,11,72711,33359754,28
2010,Illinois,621421,2612,48,71774,5898257,29
2011,Illinois,299794,1819,17,46598,6591356,10
2012,Illinois,393958,1240,28,41039,11619930,7
2013,Illinois,632355,1507,47,111198,30479751,7
2014,Illinois,516397,2416,28,85761,32535764,14
2015,Illinois,369749,1544,22,49917,15770147,29
2016,Illinois,649624,2324,42,69165,13392104,25
2017,Illinois,410812,1458,35,102977,24785213,7
2018,Illinois,219494,828,42,114045,26714867,26
2019,Illinois,225772,1123,18,90073,34641514,16
2020,Illinois,226001,3467,31,80611,20284579,22
2021,Illinois,745067,935,10,73368,19316250,23
2022,Illinois,622727,1298,41,67658,27241174,21
2005,Pennsylvania,652075,3380,22,91247,36774323,27
2006,Pennsylvania,238193,1010,47,65243,39654601,13
2007,Pennsylvania,744920,2039,40,59375,32435205,29
2008,Pennsylvania,287055,2555,18,59199,17516556,8
2009,Pennsylvania,242946,2463,38,66713,11244022,27
2010,Pennsylvania,309016,1054,37,57409,33790429,14
2011,Pennsylvania,512746,2306,48,59723,33475024,16
2012,Pennsylvania,637658,3500,11,99516,12112486,12
2013,Pennsylvania,290463,3278,38,105099,24015823,21
2014,Pennsylvania,416136,3236,20,108673,26105297,20
2015,Pennsylvania,736919,1463,17,49868,17931062,12
2016,Pennsylvania,736453,2445,12,103575,30516702,21
2017,Pennsylvania,426426,1765,15,68307,8131193,8
2018,Pennsylvania,786944,1930,17,62842,19673208,13
2019,Pennsylvania,276491,1463,41,41397,12804299,26
2020,Pennsylvania,728067,2432,28,54828,21108856,11
2021,Pennsylvania,760820,1232,20,51167,25337801,5
2022,Pennsylvania,381462,3162,23,108274,20509041,18
2005,Washington,316331,2300,21,117550,4442956,11
